,name,company,year,Price,kms_driven,fuel_type
307,Chevrolet Tavera Neo,Chevrolet,2013,"3,75,000","55,000 kms",Diesel
308,Ford EcoSport Titanium 1.5 TDCi,Ford,2014,"5,20,000","57,000 kms",Diesel
309,Maruti Suzuki Ertiga,Maruti,2015,"5,24,999","50,000 kms",Diesel
310,Honda Amaze,Honda,2014,"2,99,999","37,000 kms",Petrol
311,Maruti Suzuki Dzire,Maruti,2012,"2,99,999","40,000 kms",Petrol
312,Honda City,Honda,2011,"2,84,999","55,000 kms",Petrol
313,Mahindra Scorpio 2.6 CRDe,Mahindra,2007,"2,20,000","1,70,000 kms",Diesel
314,Maruti Suzuki Dzire,Maruti,2014,"4,24,999","55,000 kms",Diesel
315,Honda City,Honda,2015,"6,44,999","39,000 kms",Petrol
316,Honda Mobilio,Honda,2014,"3,99,999","44,000 kms",Petrol
317,Toyota Corolla Altis,Toyota,2009,"1,99,999","65,000 kms",Petrol
318,Honda City,Honda,2014,"5,84,999","39,000 kms",Petrol
319,Skoda Laura,Skoda,2012,"3,49,999","44,000 kms",Diesel
320,Renault Duster,Renault,2015,"4,49,999","49,000 kms",Diesel
321,Maruti Suzuki Ertiga,Maruti,2018,"7,99,999","9,000 kms",Diesel
322,Maruti Suzuki Dzire,Maruti,2015,"4,44,999","45,000 kms",Diesel
323,Mahindra XUV500,Mahindra,2014,"6,49,999","47,000 kms",Diesel
324,Hyundai Verna Fluidic,Hyundai,2012,"4,44,999","40,000 kms",Diesel
325,Maruti Suzuki Vitara Brezza,Maruti,2016,"6,89,999","29,000 kms",Diesel
326,Maruti Suzuki Wagon R,Maruti,2016,"3,44,999","15,000 kms",Petrol
327,Mahindra Scorpio,Mahindra,2015,"9,44,999","45,000 kms",Diesel
328,Honda Amaze,Honda,2014,"2,74,999","35,000 kms",Petrol
329,Mahindra XUV500,Mahindra,2013,"6,89,999","80,000 kms",Diesel
330,Mahindra Scorpio,Mahindra,2013,"5,74,999","68,000 kms",Diesel
331,Skoda Laura,Skoda,2013,"3,74,999","50,000 kms",Diesel
332,Volkswagen Polo,Volkswagen,2010,"1,99,999","60,000 kms",Diesel
333,Hyundai Elite i20,Hyundai,2016,"5,49,999","9,000 kms",Petrol
334,Tata Manza Aura Quadrajet,Tata,2012,"1,30,000","72,000 kms",Diesel
335,Chevrolet Sail UVA Petrol LT ABS,Chevrolet,2013,"2,10,000","60,000 kms",Petrol
336,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,"5,01,000","38,000 kms",Diesel
337,Hyundai Verna Fluidic 1.6 VTVT SX,Hyundai,2013,"4,01,000","45,000 kms",Diesel
338,Audi A4 2.0 TDI 177bhp Premium,Audi,2012,"13,50,000","40,000 kms",Diesel
339,Hyundai Elantra SX,Hyundai,2013,"6,00,000","20,000 kms",Petrol
340,Mahindra Scorpio VLX 4WD Airbag,Mahindra,2013,"6,10,000","35,000 kms",Diesel
341,Mahindra KUV100 K8 D 6 STR,Mahindra,2016,"4,00,000","20,000 kms",Diesel
342,Renault Scala RxL Diesel Travelogue,Renault,2015,"3,75,000","25,000 kms",Diesel
343,Mahindra Quanto C8,Mahindra,2013,"3,75,000","20,000 kms",Diesel
344,Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,"3,65,000","20,000 kms",Petrol
345,Hyundai i20 Active 1.2 SX,Hyundai,2015,"5,00,000","18,000 kms",Petrol
346,Mahindra Xylo E4,Mahindra,2012,"4,00,000","35,000 kms",Diesel
347,Hyundai Grand i10,Hyundai,2017,"5,24,999","6,821 kms",Petrol
348,Hyundai i20,Hyundai,2014,"4,49,999","23,000 kms",Petrol
349,Hyundai Eon,Hyundai,2014,"1,74,999","14,000 kms",Petrol
350,Hyundai i10,Hyundai,2012,"2,44,999","38,000 kms",Petrol
351,Hyundai i20 Active,Hyundai,2015,"5,74,999","35,000 kms",Diesel
352,Datsun Redi GO,Datsun,2017,"2,44,999","22,000 kms",Petrol
353,Toyota Etios Liva,Toyota,2011,"2,39,999","41,000 kms",Petrol
354,Hyundai Accent,Hyundai,2010,"99,999","45,000 kms",Petrol
355,Hyundai Verna,Hyundai,2014,"4,89,999","44,000 kms",Diesel
356,Maruti Suzuki Swift,Maruti,2013,"3,24,999","45,000 kms",Diesel
357,Toyota Fortuner,Toyota,2011,"10,74,999","52,000 kms",Diesel
358,Hyundai i10 Sportz,Hyundai,2012,"2,30,000","34,000 kms",Petrol
359,Mahindra Bolero Power Plus SLE,Mahindra,2018,"6,99,000","1,800 kms",Diesel
360,selling car Ta,selling,Zest,Ask For Price,,
361,Mahindra XUV500,Mahindra,2015,"10,00,000","15,000 kms",Diesel
362,Honda City 1.5 V MT Exclusive,Honda,2010,"2,40,000","4,00,000 kms",Petrol
363,Chevrolet Spark LT 1.0 Airbag,Chevrolet,2009,"1,10,000","44,000 kms",Petrol
364,Mahindra Jeep MM 550 XDB,Mahindra,2019,"3,90,000",60 kms,Diesel
365,Renault Duster 110PS Diesel RxZ,Renault,2012,"5,01,000","35,000 kms",Diesel
366,Mahindra XUV500,Mahindra,2016,"11,30,000","72,000 kms",Diesel
367,Tata Indigo eCS VX CR4 BS IV,Tata,2014,"2,50,000","40,000 kms",Diesel
368,Tata Zest 90,Tata,/-Rs,Ask For Price,,
369,Mahindra Bolero SLE BS IV,Mahindra,2013,"3,30,000","80,200 kms",Diesel
370,Force Motors Force One LX ABS 7 STR,Force,2015,"5,80,000","3,200 kms",Diesel
371,Skoda Rapid Elegance 1.6 TDI CR MT,Skoda,2013,"3,40,000","48,000 kms",Diesel
372,Tata Vista Quadrajet VX,Tata,2011,"1,20,000","90,000 kms",Diesel
373,Maruti Suzuki Alto K10 VXi AT,Maruti,2015,"2,65,000","12,000 kms",Petrol
374,Maruti Suzuki SX4,Maruti,2012,"2,65,000","46,000 kms",Diesel
375,Maruti Suzuki Zen LXi BS III,Maruti,2003,"85,000","69,900 kms",Petrol
376,Mahindra Jeep CL550 MDI,Mahindra,2019,"3,79,000","0,000 kms",Diesel
377,Hyundai i10 Magna 1.2,Hyundai,2011,"1,75,000","45,000 kms",Petrol
378,Maruti Suzuki Alto 800,Maruti,2015,"2,19,000","5,000 kms",Petrol
379,Maruti Suzuki Swift Dzire Tour LDi,Maruti,2016,"3,50,000","1,66,000 kms",Diesel
380,Honda City ZX EXi,Honda,2008,"1,49,000","42,000 kms",Petrol
381,Mahindra Jeep CL550 MDI,Mahindra,2018,"3,85,000",588 kms,Diesel
382,Mahindra Jeep MM 550 XDB,Mahindra,2006,"4,25,000",122 kms,Diesel
383,Chevrolet Beat Diesel,Chevrolet,2017,"1,50,000","62,000 kms",Diesel
384,Honda City 1.5 S MT,Honda,2010,"2,25,000","70,000 kms",Petrol
385,Maruti Suzuki Swift Dzire car,Maruti,sale,"3,00,000",,
386,Hyundai Verna 1.4 VTVT,Hyundai,2014,"3,75,000","36,000 kms",Petrol
387,Toyota Innova 2.5 E MS 7 STR BS IV,Toyota,2012,"7,70,000",0 kms,Diesel
388,Maruti Suzuki Alto 800 Lxi,Maruti,2018,Ask For Price,"24,000 kms",Petrol
389,Maruti Suzuki Maruti 800 Std – Befo,Maruti,1995,"30,000","55,000 kms",Petrol
390,Toyota Etios,Toyota,2011,"2,75,000","36,000 kms",Diesel
391,Volkswagen Polo,Volkswagen,2015,"3,30,000","38,000 kms",Diesel
392,Maruti Suzuki Swift,Maruti,2014,"3,35,000","55,000 kms",Diesel
393,Hyundai Elite i20 Asta 1.4 CRDI,Hyundai,2015,"4,50,000","20,000 kms",Diesel
394,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2012,"2,25,000","40,000 kms",Petrol
395,Maruti Suzuki Swift Dzire Tour (Gat,Maruti,ara),"3,00,000",,
396,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,"80,000","50,000 kms",Petrol
397,Tata Indigo LX TDI BS III,Tata,2016,"1,30,000","1,04,000 kms",Diesel
398,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000","65,000 kms",Diesel
399,Mercedes Benz C Class 200 CDI Classic,Mercedes,2002,"3,99,000","41,000 kms",Petrol
400,Maruti Suzuki Ertiga VDi,Maruti,2013,"4,50,000","90,000 kms",Diesel
401,URJE,URJENT,SELL,"1,80,000",,
402,Honda City,Honda,2000,"65,000","80,000 kms",Petrol
403,Hyundai Santro Xing GLS,Hyundai,2006,"75,000","46,000 kms",Petrol
404,Maruti Suzuki Omni Limited Edition,Maruti,2001,"70,000","70,000 kms",Petrol
405,Hyundai Sonata Transform 2.4 GDi MT,Hyundai,2017,"1,90,000","36,469 kms",Diesel
406,Hyundai Elite i20 Sportz 1.2,Hyundai,2018,"6,00,000","7,800 kms",Petrol
407,Volkswagen Vento Konekt Diesel Highline,Volkswagen,2011,"2,45,000","65,000 kms",Diesel
408,Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,40,000","60,000 kms",Petrol
409,Maruti Suzuki Alto LXi BS III,Maruti,2011,"1,55,000","32,000 kms",Petrol
410,Honda Jazz S MT,Honda,2009,"1,69,999","24,695 kms",Petrol
411,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2017,"4,50,000","15,141 kms",Petrol
412,Maruti Suzuki Zen LXi BSII,Maruti,2001,"40,000","40,000 kms",Petrol
413,Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,2012,"1,65,000","65,000 kms",Diesel
414,Swift Dzire Tour 27 Dec 2016 Regis,Swift,tion,"3,70,000",,
415,Maruti Suzuki Alto K10 VXi,Maruti,2014,"2,70,000","22,000 kms",Petrol
416,Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,2016,"2,80,000","59,910 kms",Diesel
417,Mahindra XUV500 W8,Mahindra,2012,"5,60,000","1,00,000 kms",Diesel
418,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2016,"9,50,000","25,000 kms",Petrol
419,Hyundai i20 Magna O 1.2,Hyundai,2013,"3,10,000","35,000 kms",Petrol
420,Renault Duster 85 PS RxL Explore LE,Renault,2015,"7,15,000","65,000 kms",Diesel
421,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,2014,"3,40,000","35,000 kms",Petrol
422,Honda Brio V MT,Honda,2012,"2,35,000","33,000 kms",Petrol
423,Mahindra TUV300 T4 Plus,Mahindra,2017,"6,10,000","68,000 kms",Diesel
424,Chevrolet Spark LS 1.0,Chevrolet,2010,"95,000","23,000 kms",Petrol
425,Mahindra TUV300 T8,Mahindra,2018,"10,00,000","4,500 kms",Diesel
426,Maruti Suzuki Swift Dzire Tour LDi,Maruti,2015,"2,20,000","1,29,000 kms",Diesel
427,Nissan X Trail Select Variant,Nissan,2019,"12,00,000",300 kms,Diesel
428,Maruti Suzuki Alto 800 Vxi,Maruti,2015,"2,30,000","5,000 kms",Petrol
429,Ford Ikon 1.3 CLXi NXt Finesse,Ford,2001,"45,000","65,000 kms",Petrol
430,Toyota Fortuner 3.0 4x4 MT,Toyota,2010,"9,40,000","1,31,000 kms",Diesel
431,Tata Manza ELAN Quadrajet,Tata,2010,"1,55,555","1,11,111 kms",Petrol
432,Tata zest x,Tata,odel,"3,20,000",,
433,Mahindra xyl,Mahindra,2 bs,"3,50,000",,
434,Mercedes Benz A Class A 180 Sport Petrol,Mercedes,2013,"15,00,000","14,000 kms",Petrol
435,Chevrolet Beat LS Diesel,Chevrolet,2016,"2,10,000","22,000 kms",Diesel
436,Ford EcoSport Trend 1.5L TDCi,Ford,2013,"4,95,000","38,000 kms",Diesel
437,Tata Indigo LS,Tata,2016,"1,25,000","70,000 kms",Diesel
438,Hyundai i20 Magna 1.2,Hyundai,2010,"1,95,000","36,000 kms",Petrol
439,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2015,"5,50,000","34,000 kms",Diesel
440,Renault Kwid RXT,Renault,2015,"2,70,000","43,000 kms",Petrol
441,Used Commercial Maruti Omn,Used,arry,"1,50,000",,
442,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,"5,00,000","40,000 kms",Diesel
443,Honda Amaze 1.5 E i DTEC,Honda,2016,"2,40,000","1,60,000 kms",Diesel
444,Hyundai Verna 1.6 EX VTVT,Hyundai,2017,"8,00,000","12,000 kms",Petrol
445,BMW 5 Series 520d Sedan,BMW,2011,"12,99,000","49,000 kms",Diesel
446,Skoda Superb 1.8 TFSI AT,Skoda,2011,"5,30,000","68,000 kms",Petrol
447,Audi Q3 2.0 TDI quattro Premium,Audi,2013,"14,99,000","37,000 kms",Diesel
448,Mahindra Bolero DI BSII,Mahindra,2012,"2,20,000","59,466 kms",Diesel
449,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2011,Ask For Price,"16,000 kms",Petrol
450,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
451,Ford Figo Duratorq Diesel Titanium 1.4,Ford,2012,"2,50,000","99,000 kms",Diesel
452,Maruti Suzuki Wagon R VXI BS IV,Maruti,2018,"3,95,000","25,500 kms",Petrol
453,Mahindra Logan Diesel 1.5 DLS,Mahindra,2009,"1,30,000","66,000 kms",Petrol
454,Tata Nano GenX XMA,Tata,2010,"32,000","44,005 kms",Petrol
455,Mahindra TUV300 T4 Plus,Mahindra,2016,"5,40,000","35,000 kms",Diesel
456,Mahindra TUV300 T4 Plus,Mahindra,2016,"5,40,000","35,000 kms",Diesel
457,Hyundai Elite i20 Magna 1.2,Hyundai,2015,"4,05,000","28,000 kms",Petrol
458,Hyundai Elite i20 Magna 1.2,Hyundai,2015,"4,00,000","30,000 kms",Petrol
459,Honda City SV,Honda,2017,"7,60,000","4,000 kms",Petrol
460,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"5,00,000","28,000 kms",Petrol
461,Ford Figo Petrol LXI,Ford,2011,"1,75,000","75,000 kms",Petrol
462,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
463,Honda City,Honda,2017,"7,50,000","3,000 kms",Petrol
464,Hyundai Elite i20 Magna 1.2,Hyundai,2015,"4,19,000","20,000 kms",Petrol
465,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,"90,000","50,000 kms",Petrol
466,Hyundai Eon Era Plus,Hyundai,2018,"1,40,000","2,110 kms",Petrol
467,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,"15,40,000","43,222 kms",Petrol
468,Hyundai i10 Magna 1.2 Kappa2,Hyundai,2008,"2,75,000","1,00,200 kms",Petrol
469,Toyota Corolla H2,Toyota,2003,"1,50,000","1,00,000 kms",Petrol
470,Maruti Suzuki Swift Dzire Tour VXi,Maruti,2011,"2,30,000",65 kms,Petrol
471,Tata Indigo CS eLS BS IV,Tata,2015,"1,23,000","1,00,000 kms",Diesel
472,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
473,Mahindra Scorpio S10,Mahindra,2015,"9,00,000","97,200 kms",Diesel
474,Hyundai Xcent Base 1.1 CRDi,Hyundai,2016,"3,00,000","1,40,000 kms",Diesel
475,Honda City,Honda,2015,"4,99,999","55,000 kms",Petrol
476,Hyundai Accent Executive Edition,Hyundai,2009,"1,65,000","48,000 kms",Petrol
477,Maruti Suzuki Baleno Delta 1.2,Maruti,2016,"4,98,000","22,000 kms",Petrol
478,Tata Zest XE 75 PS Diesel,Tata,2018,"4,80,000","1,03,553 kms",Diesel
479,Maruti Suzuki Dzire LDI,Maruti,2017,"4,88,000","80,000 kms",Diesel
480,Tata Sumo Gold LX BS IV,Tata,2014,"2,50,000","99,000 kms",Diesel
481,Toyota Corolla Altis GL Petrol,Toyota,2010,"2,20,000","58,000 kms",Petrol
482,Maruti Suzuki Eeco 7 STR,Maruti,2013,"2,90,000","70,000 kms",LPG
483,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,"15,25,000","1,20,000 kms",Diesel
484,Mahindra XUV500 W6,Mahindra,2013,"5,48,900","49,800 kms",Diesel
485,Tata Tigor Revotron XZ,Tata,2019,"6,50,000",100 kms,Diesel
486,Maruti Suzuki 800,Maruti,2001,"55,000","81,876 kms",Petrol
487,Maruti Suzuki Ertiga Vxi,Maruti,2015,"5,50,000","75,000 kms",Petrol
488,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,2004,"90,000","50,000 kms",Petrol
489,Honda Mobilio S i DTEC,Honda,2014,"3,99,000","44,000 kms",Diesel
490,Maruti Suzuki Ertiga,Maruti,2016,"7,30,000","55,000 kms",Diesel
491,Maruti Suzuki Vitara Brezza,Maruti,2017,"7,25,000","36,000 kms",Diesel
492,Hyundai Verna 1.6 CRDI E,Hyundai,2016,"1,95,000","56,000 kms",Diesel
493,Maruti Suzuki Swift VXI BSIII,Maruti,2007,"1,30,000","62,000 kms",Petrol
494,Toyota Fortuner 3.0 4x2 MT,Toyota,2015,"15,25,000","1,20,000 kms",Diesel
495,Maruti Suzuki Omni Select Variant,Maruti,2014,"1,90,000","6,020 kms",Petrol
496,Honda Amaze,Honda,2013,"2,50,000","55,700 kms",Diesel
497,Tata Indica,Tata,2005,"80,000","42,000 kms",Petrol
498,Hyundai Santro Xing,Hyundai,2003,"1,20,000","50,000 kms",Petrol
499,Maruti Suzuki Zen Estilo,Maruti,2010,"1,49,000","35,000 kms",Petrol
500,Maruti Suzuki Wagon R LXI BS IV,Maruti,2014,"2,50,000","18,500 kms",Petrol
501,Maruti Suzuki Wagon R,Maruti,2007,"1,20,000","7,000 kms",Petrol
502,Honda Brio VX AT,Honda,2017,"4,50,000","11,000 kms",Petrol
503,Hyundai Xcent Base 1.1 CRDi,Hyundai,2015,Ask For Price,"1,80,000 kms",Diesel
504,Maruti Suzuki Zen LXi BSII,Maruti,2003,"99,999","53,000 kms",Petrol
505,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,2008,"1,35,000","23,000 kms",Petrol
506,Maruti Suzuki Wagon R Select Variant,Maruti,2016,"2,25,000","35,500 kms",Diesel
507,Maruti Suzuki Alto LXi BS III,Maruti,2010,"99,000","22,134 kms",Petrol
508,Renault Kwid RXT,Renault,2019,"3,70,000","1,000 kms",Petrol
509,Tata Nano Lx BSIV,Tata,2010,"52,000","9,000 kms",Petrol
510,Jaguar XE XE Portfolio,Jaguar,2016,"28,00,000","8,500 kms",Petrol
511,Hyundai Xcent S 1.2,Hyundai,2015,Ask For Price,"35,000 kms",Petrol
512,Hyundai Eon Magna Plus,Hyundai,2014,"1,90,000","35,000 kms",Petrol
513,Honda City 1.5 S MT,Honda,2014,"4,99,000","22,000 kms",Petrol
514,Hindustan Motors Ambassador,Hindustan,2002,"90,000","25,000 kms",Diesel
515,Maruti Suzuki Ritz GENUS VXI,Maruti,2010,"1,49,000","40,000 kms",Petrol
516,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,2017,"4,00,000","20,000 kms",Petrol
517,Hyundai Eon D Lite Plus,Hyundai,2016,"1,20,000","87,000 kms",Petrol
518,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2015,"2,50,000","55,000 kms",Petrol
519,Maruti Suzuki Wagon R VXI BS IV,Maruti,2017,"3,75,000","23,000 kms",Petrol
520,Honda Amaze 1.2 VX i VTEC,Honda,2014,"3,81,000","6,000 kms",Petrol
521,Maruti Suzuki Estilo VXi ABS BS IV,Maruti,2013,"1,80,000","65,000 kms",Petrol
522,Maruti Suzuki Vitara Brezza LDi O,Maruti,2016,"5,80,000","25,000 kms",Diesel
523,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,"2,78,000","39,000 kms",Petrol
524,Toyota Innova 2.0 V,Toyota,2009,Ask For Price,"15,574 kms",Diesel
525,Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,2016,"10,00,000","8,000 kms",Petrol
526,Mahindra Scorpio Vlx BSIV,Mahindra,2013,"6,90,000","75,000 kms",Diesel
527,Maruti Suzuki Ertiga VDi,Maruti,2012,"4,80,000","51,000 kms",Diesel
528,Mitsubishi Lancer 1.8 LXi,Mitsubishi,2006,"85,000","50,000 kms",Petrol
529,Maruti Suzuki Maruti 800 AC,Maruti,2001,"40,000","75,000 kms",Petrol
530,Maruti Suzuki Alto 800 LXI CNG O,Maruti,2015,"90,000","55,800 kms",Petrol
531,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2015,"3,40,000","53,000 kms",Petrol
532,Hyundai Eon D Lite Plus,Hyundai,2018,"2,60,000","25,000 kms",Petrol
533,Ford Fiesta SXi 1.6 ABS,Ford,2009,"2,50,000","56,400 kms",Petrol
534,Maruti Suzuki Ritz VDi,Maruti,2010,"1,80,000","72,160 kms",Diesel
535,Hyundai Verna Fluidic New,Hyundai,2012,"3,50,000","10,000 kms",Diesel
536,Maruti Suzuki Wagon R LXi BS III,Maruti,2006,"90,001","48,000 kms",Petrol
537,Maruti Suzuki Estilo LX BS IV,Maruti,2007,"1,15,000","36,000 kms",Petrol
538,Audi A6 2.0 TDI Premium,Audi,2012,"15,99,000","11,500 kms",Diesel
539,Maruti Suzuki Wagon R LXi BS III,Maruti,2003,"1,30,000","1,33,000 kms",Petrol
540,Maruti Suzuki Wagon R,Maruti,2009,"1,59,000","27,000 kms",Petrol
541,Maruti Suzuki Wagon R,Maruti,2009,"1,60,000","35,000 kms",Petrol
542,Maruti Suzuki Alto,Maruti,2010,"1,10,000","55,000 kms",Petrol
543,Maruti Suzuki Baleno Sigma 1.2,Maruti,2016,"4,25,000","40,000 kms",Petrol
544,Hyundai Verna 1.6 SX VTVT AT,Hyundai,2019,"9,00,000","2,000 kms",Petrol
545,Maruti Suzuki Swift GLAM,Maruti,2009,"1,50,000","45,000 kms",Petrol
546,Hyundai Getz Prime 1.3 GVS,Hyundai,2009,"1,10,000","20,000 kms",Petrol
547,Hyundai Santro,Hyundai,2000,"51,999","88,000 kms",Petrol
548,Hyundai Getz Prime 1.3 GLX,Hyundai,2009,"1,15,000","20,000 kms",Petrol
549,Chevrolet Beat PS Diesel,Chevrolet,2012,"2,15,000","65,422 kms",Diesel
550,Ford EcoSport Trend 1.5 Ti VCT,Ford,2017,"5,80,000","10,000 kms",Petrol
551,Maruti Suzuki Dzire ZXI,Maruti,2013,"3,80,000","35,000 kms",Petrol
552,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2013,"3,50,000","1,17,000 kms",Diesel
553,Tata Indica V2 DLG,Tata,2005,"35,000","1,50,000 kms",Diesel
554,BMW X1 xDrive20d xLine,BMW,2011,"11,50,000","72,000 kms",Diesel
555,Hyundai i20 Asta 1.2,Hyundai,2010,"3,00,000","10,750 kms",Petrol
556,Honda City 1.5 V AT,Honda,2009,"2,69,000","55,000 kms",Petrol
557,Tata Nano,Tata,2013,"60,000","6,800 kms",Petrol
558,Chevrolet Cruze LTZ AT,Chevrolet,2014,"4,00,000","41,000 kms",Diesel
559,Hyundai Verna Fluidic New,Hyundai,2015,"4,30,000","73,000 kms",Diesel
560,Hyun,Hyundai,Eon,Ask For Price,,
561,Maruti Suzuki Swift Dzire VDi,Maruti,2011,"1,40,000","65,000 kms",Diesel
562,Mahindra XUV500 W6,Mahindra,2014,"85,00,003","45,000 kms",Diesel
563,Mahindra XUV500 W10,Mahindra,2018,"12,99,000","40,000 kms",Diesel
564,Maruti Suzuki Alto K10 LXi CNG,Maruti,2014,"1,99,000","37,000 kms",Petrol
565,Hyundai Accent GLE,Hyundai,2006,"90,000","55,000 kms",Petrol
566,Force Motors One SUV,Force,2013,"5,50,000","1,40,000 kms",Diesel
567,Datsun Go Plus T O,Datsun,2016,Ask For Price,5 kms,Petrol
568,Maruti Suzuki Alto,Maruti,2019,"2,65,000","9,800 kms",Petrol
569,Chevrolet Spark 1.0 LT,Chevrolet,2011,"1,00,000","27,000 kms",Petrol
570,Hyundai i10,Hyundai,2009,"2,15,000","27,000 kms",Petrol
571,Toyota Etios Liva GD,Toyota,2012,"3,80,000","20,000 kms",Diesel
572,Renault Duster 85PS Diesel RxL Optional with Nav,Renault,2013,"4,01,919","57,923 kms",Diesel
573,Chevrolet Enjoy,Chevrolet,2014,"4,90,000","30,201 kms",Diesel
574,Maruti Suzuki Alto 800 Lxi,Maruti,2017,"2,80,000","6,200 kms",Petrol
575,BMW 5 Series 530i,BMW,2009,"6,50,000","37,518 kms",Petrol
576,Toyota Etios Liva G,Toyota,2014,"1,60,000","24,652 kms",Petrol
577,Mahindra Jeep MM 550 XDB,Mahindra,2004,"4,24,000",383 kms,Diesel
578,Chevrolet Beat LS Diesel,Chevrolet,2016,"2,25,000","95,000 kms",Diesel
579,Chevrolet Cruze LTZ,Chevrolet,2011,"3,50,000","35,000 kms",Diesel
580,Jeep Wrangler Unlimited 4x4 Diesel,Jeep,2015,"9,50,000","3,528 kms",Diesel
581,Maruti Suzuki Ertiga VDi,Maruti,2013,"4,85,000","52,500 kms",Diesel
582,Hyundai Verna VGT CRDi SX ABS,Hyundai,2010,"2,05,000","47,900 kms",Diesel
583,Maruti Suzuki Omni,Maruti,2012,"1,60,000","14,000 kms",Petrol
584,Maruti Suzuki Celerio VDi,Maruti,2018,"3,10,000","37,000 kms",Petrol
585,Tata Zest Quadrajet 1.3,Tata,2017,"1,80,000","90,000 kms",Diesel
586,Mahindra XUV500 W6,Mahindra,2013,"5,49,900","52,800 kms",Diesel
587,Tata Indigo CS eLX BS IV,Tata,2016,"1,50,000","1,04,000 kms",Diesel
588,Hyundai i10 Era,Hyundai,2011,"1,75,000","30,000 kms",Petrol
589,Tata Indigo eCS LX TDI BS III,Tata,2014,"95,000","1,95,000 kms",Diesel
590,Tata Indigo LX TDI BS III,Tata,2016,"2,30,000","1,04,000 kms",Diesel
591,Tata Indigo eCS LX CR4 BS IV,Tata,2016,"2,30,000","1,04,000 kms",Diesel
592,Tata Indigo Marina LS,Tata,2004,"1,80,000","70,000 kms",Diesel
593,Commercial Chevrolet Sail Hatchback ca,Commercial,o...,"2,25,000",,
594,Hyundai Xcent SX 1.2,Hyundai,2015,"4,00,000","43,000 kms",Diesel
595,Hyundai Eon Magna Plus,Hyundai,2013,"1,85,000","23,000 kms",Petrol
596,Renault Duster 85 PS RxL Diesel,Renault,2015,"3,85,000","51,000 kms",Diesel
597,Maruti Suzuki Alto K10 LXi CNG,Maruti,2009,"90,000","62,000 kms",Petrol
598,Tata Nano LX Special Edition,Tata,2010,"32,000","48,008 kms",Petrol
599,Commercial Car Ta,Commercial,Zest,"3,71,500",,
600,Renault Duster 110 PS RxZ Diesel,Renault,2013,"4,35,000","39,000 kms",Diesel
601,Maruti Suzuki Wagon R AX BSIV,Maruti,2010,"2,25,000","40,000 kms",Petrol
602,Maruti Suzuki Swift,Maruti,2006,"1,89,700","48,247 kms",Petrol
603,Maruti Suzuki Ertiga,Maruti,2012,"3,89,700","39,000 kms",Diesel
604,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2014,"3,65,000","23,000 kms",Petrol
605,Maruti Suzuki Alto K10 New,Maruti,2017,"3,60,000","9,400 kms",Petrol
606,Hyundai i20 Magna,Hyundai,2010,"2,10,000","50,000 kms",Petrol
607,Hyundai i10 Magna 1.2,Hyundai,2009,"1,70,000","75,000 kms",Petrol
608,tata Indica,tata,sale,"1,30,000",,
609,Tata Zest XE 75 PS Diesel,Tata,2017,"3,80,000","70,000 kms",Diesel
610,Mahindra Xylo E8,Mahindra,2009,"2,95,000","64,000 kms",Diesel
611,Toyota Corolla Altis GL Petrol,Toyota,2010,"1,85,000","55,000 kms",Petrol
612,Tata Manza Aqua Quadrajet,Tata,2014,"1,60,000","2,00,000 kms",Diesel
613,Mahindra KUV100 K8 D 6 STR,Mahindra,2018,Ask For Price,"7,500 kms",Diesel
614,Used bt new conditions ta,Used,Zest,"2,55,000",,
